"ensembl_gene_id","external_gene_name"
"564","ENSMUSG00000019699","Akt3"
"565","ENSMUSG00000019732","Calr3"
"566","ENSMUSG00000019767","Ccdc170"
"567","ENSMUSG00000019785","Clvs2"
"568","ENSMUSG00000019806","Aig1"
"569","ENSMUSG00000019808","Adat2"
"570","ENSMUSG00000019813","Cep57l1"
"571","ENSMUSG00000019818","Cd164"
"572","ENSMUSG00000019852","Arfgef3"
"573","ENSMUSG00000019857","Asf1a"
"574","ENSMUSG00000019866","Crybg1"
"575","ENSMUSG00000019883","Echdc1"
"576","ENSMUSG00000019891","Dcbld1"
"577","ENSMUSG00000019897","Ccdc59"
"578","ENSMUSG00000019929","Dcn"
"579","ENSMUSG00000019942","Cdk1"
"580","ENSMUSG00000019943","Atp2b1"
"581","ENSMUSG00000019945","Cabcoco1"
"582","ENSMUSG00000019947","Arid5b"
"583","ENSMUSG00000019948","Actr6"
"584","ENSMUSG00000019960","Dusp6"
"585","ENSMUSG00000019971","Cep290"
"586","ENSMUSG00000019978","Epb41l2"
"587","ENSMUSG00000019979","Apaf1"
"588","ENSMUSG00000019986","Ahi1"
"589","ENSMUSG00000019987","Arg1"
"590","ENSMUSG00000019989","Enpp3"
"591","ENSMUSG00000019997","Ccn2"
"592","ENSMUSG00000020014","Cfap54"
"593","ENSMUSG00000020015","Cdk17"
"594","ENSMUSG00000020024","Cep83"
"595","ENSMUSG00000020038","Cry1"
"596","ENSMUSG00000020042","Btbd11"
"597","ENSMUSG00000020057","Dram1"
"598","ENSMUSG00000020074","Ccar1"
"599","ENSMUSG00000020075","Ddx21"
"600","ENSMUSG00000020076","Ddx50"
"601","ENSMUSG00000020085","Aifm2"
"602","ENSMUSG00000020091","Eif4ebp2"
"603","ENSMUSG00000020107","Anapc16"
"604","ENSMUSG00000020108","Ddit4"
"605","ENSMUSG00000020109","Dnajb12"
"606","ENSMUSG00000020114","Cand1"
"607","ENSMUSG00000020122","Egfr"
"608","ENSMUSG00000020123","Avpr1a"
"609","ENSMUSG00000020125","Elane"
"610","ENSMUSG00000020135","Apc2"
"611","ENSMUSG00000020143","Dock2"
"612","ENSMUSG00000020152","Actr2"
"613","ENSMUSG00000020166","Cnot2"
"614","ENSMUSG00000020169","Best3"
"615","ENSMUSG00000020173","Cobl"
"616","ENSMUSG00000020178","Adora2a"
"617","ENSMUSG00000020182","Ddc"
"618","ENSMUSG00000020183","Cpm"
"619","ENSMUSG00000020185","E2f7"
"620","ENSMUSG00000020186","Csrp2"
"621","ENSMUSG00000020196","Cabin1"
"622","ENSMUSG00000020198","Ap3d1"
"623","ENSMUSG00000020231","Dip2a"
"624","ENSMUSG00000020241","Col6a2"
"625","ENSMUSG00000020255","Nopchap1"
"626","ENSMUSG00000020256","Aldh1l2"
"627","ENSMUSG00000020262","Adarb1"
"628","ENSMUSG00000020263","Appl2"
"629","ENSMUSG00000020284","Cfap410"
"630","ENSMUSG00000020288","Ahsa2"
"631","ENSMUSG00000020300","Cpeb4"
"632","ENSMUSG00000020305","Asb3"
"633","ENSMUSG00000020307","Cdc34"
"634","ENSMUSG00000020309","Chac2"
