"logFC.X1","logFC.X2","logFC.X3","logCPM","F","PValue","FDR","Symbol","ENSEMBL","celltype"
"ENSMUSG00000022881.stellate",0.779015777376082,6.83921235813425,-1.11447211610493,1.40543099426099,22.0477857888154,1.40003410212454e-07,0.000209914219516124,"Rfc4","ENSMUSG00000022881","stellate"
"ENSMUSG00000034023.stellate",4.178489963787,15.8483414845442,0.330585046129219,-1.21867418850897,21.969266654637,1.40125083228868e-07,0.000209914219516124,"Fancd2","ENSMUSG00000034023","stellate"
"ENSMUSG00000005667.stellate",0.362426877131865,6.40540921767466,-1.35617751583357,0.783072700979695,21.1826093816262,1.41659834708392e-07,0.000209914219516124,"Mthfd2","ENSMUSG00000005667","stellate"
"ENSMUSG00000056978.kupffer",5.36005656848526,-3.69216002811611,4.04224312789158,-1.06242727098137,21.1787158493295,1.41922449225588e-07,0.000209914219516124,"Hamp2","ENSMUSG00000056978","kupffer"
"ENSMUSG00000021176.stellate",5.22020554680589,7.38880813552655,-4.09795239505449,-0.847870899696975,21.8326377477168,1.57959764050404e-07,0.000230481860024246,"Efcab11","ENSMUSG00000021176","stellate"
"ENSMUSG00000062248.endothelial",3.97419366980967,2.96231721209038,-0.357307054494813,3.94575677352086,20.900301129085,1.62115659651877e-07,0.000230481860024246,"Cks2","ENSMUSG00000062248","endothelial"
"ENSMUSG00000064372.stellate",4.87003898789858,4.82294972048697,1.18273821020083,1.247365178079,20.8740371110689,1.64172817843623e-07,0.000230481860024246,NA,"ENSMUSG00000064372","stellate"
"ENSMUSG00000035365.endothelial",6.25046699026148,2.18963785632618,-1.95045660193073,-0.326458208761565,20.8633778914412,1.6501563490495e-07,0.000230481860024246,"Parpbp","ENSMUSG00000035365","endothelial"
"ENSMUSG00000023940.endothelial",5.49989826352458,2.65336663207376,-0.676989015184066,1.63735198712195,20.8577079194031,1.65465833656447e-07,0.000230481860024246,"Sgo1","ENSMUSG00000023940","endothelial"
"ENSMUSG00000024640.stellate",2.4380319988783,6.91757238743234,-2.56744401679533,0.346963769399011,22.6250465362337,1.67109132773815e-07,0.000230481860024246,"Psat1","ENSMUSG00000024640","stellate"
